Model,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC Score
Log Reg,0.8731707317073171,0.9440952380952381,0.8558558558558559,0.9047619047619048,0.8796296296296297,0.7471136777897657
Dt,0.9853658536585366,0.9857142857142858,1.0,0.9714285714285714,0.9855072463768116,0.9711511393019859
Knn,0.8634146341463415,0.9698095238095238,0.8468468468468469,0.8952380952380953,0.8703703703703703,0.7275282169269904
Nb,0.824390243902439,0.8707619047619047,0.8108108108108109,0.8571428571428571,0.8333333333333334,0.6491863734758897
Rf,1.0,1.0,1.0,1.0,1.0,1.0
Xgb,1.0,1.0,1.0,1.0,1.0,1.0
